transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail
719,1/2/2023,12:22:04,1,3,Astoria,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm
735,1/2/2023,12:29:07,1,3,Astoria,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg
797,1/2/2023,13:40:11,1,3,Astoria,39,4.25,Coffee,Barista Espresso,Latte Rg
812,1/2/2023,13:55:38,1,8,Hell's Kitchen,71,3.75,Bakery,Pastry,Chocolate Croissant
814,1/2/2023,13:57:59,2,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte
829,1/2/2023,14:12:35,2,3,Astoria,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
844,1/2/2023,14:33:26,1,3,Astoria,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm
872,1/2/2023,15:05:22,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone
877,1/2/2023,15:15:03,1,3,Astoria,77,3.0,Bakery,Scone,Oatmeal Scone
882,1/2/2023,15:23:29,2,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,Peppermint Lg
952,1/2/2023,16:26:14,1,3,Astoria,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
999,1/2/2023,17:18:25,2,5,Lower Manhattan,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg
1006,1/2/2023,17:28:06,1,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg
1010,1/2/2023,17:29:42,1,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
1012,1/2/2023,17:34:05,2,8,Hell's Kitchen,28,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
1023,1/2/2023,17:44:03,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
1098,1/2/2023,19:28:16,2,3,Astoria,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
1100,1/2/2023,19:35:14,1,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino
1147,1/3/2023,8:37:26,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
1154,1/3/2023,8:42:28,1,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
1155,1/3/2023,8:44:23,2,8,Hell's Kitchen,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm
1185,1/3/2023,9:50:02,2,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg
1206,1/3/2023,10:41:29,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone
1211,1/3/2023,10:54:16,2,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg
1214,1/3/2023,10:56:53,1,5,Lower Manhattan,73,3.75,Bakery,Pastry,Almond Croissant
1239,1/3/2023,11:27:36,1,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
1253,1/3/2023,11:37:55,1,3,Astoria,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg
1263,1/3/2023,11:46:29,2,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
1268,1/3/2023,11:52:48,1,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
1289,1/3/2023,12:23:36,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
1346,1/3/2023,13:38:29,2,3,Astoria,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
1370,1/3/2023,14:08:26,1,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg
1381,1/3/2023,14:18:47,2,5,Lower Manhattan,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
1383,1/3/2023,14:18:58,2,3,Astoria,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
1412,1/3/2023,14:47:10,1,3,Astoria,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti
1421,1/3/2023,14:53:17,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone
1457,1/3/2023,15:19:17,1,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg
1458,1/3/2023,15:19:17,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone
1460,1/3/2023,15:23:04,2,3,Astoria,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
1477,1/3/2023,15:36:32,1,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
1488,1/3/2023,15:47:58,2,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
1502,1/3/2023,15:58:24,2,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
1507,1/3/2023,16:04:22,2,3,Astoria,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg
1528,1/3/2023,16:29:19,2,5,Lower Manhattan,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg
1535,1/3/2023,16:31:41,1,3,Astoria,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
1542,1/3/2023,16:37:31,2,3,Astoria,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
1555,1/3/2023,16:50:27,1,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
1581,1/3/2023,17:18:26,1,8,Hell's Kitchen,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
1598,1/3/2023,17:32:11,1,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
1599,1/3/2023,17:35:29,2,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
1617,1/3/2023,17:59:02,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant
1639,1/3/2023,18:30:40,1,3,Astoria,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
1654,1/3/2023,18:56:00,1,3,Astoria,39,4.25,Coffee,Barista Espresso,Latte Rg
1659,1/3/2023,19:05:02,1,8,Hell's Kitchen,49,3.0,Tea,Brewed Black tea,English Breakfast Lg
1688,1/3/2023,19:49:19,2,8,Hell's Kitchen,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm
1729,1/4/2023,8:43:10,2,8,Hell's Kitchen,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
1733,1/4/2023,8:58:38,1,8,Hell's Kitchen,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm
1745,1/4/2023,9:40:25,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
1770,1/4/2023,10:27:54,2,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
1786,1/4/2023,11:14:39,2,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,Peppermint Lg
1800,1/4/2023,11:29:36,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
1806,1/4/2023,11:40:03,1,3,Astoria,30,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
1821,1/4/2023,12:00:58,2,3,Astoria,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm
1822,1/4/2023,12:01:42,2,3,Astoria,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
1873,1/4/2023,12:57:48,2,3,Astoria,30,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
1882,1/4/2023,13:08:33,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte
1895,1/4/2023,13:26:45,2,3,Astoria,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
1904,1/4/2023,13:42:22,2,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,Peppermint Lg
1932,1/4/2023,14:13:50,1,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg
1939,1/4/2023,14:19:06,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant
1946,1/4/2023,14:26:56,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg
1963,1/4/2023,14:44:00,2,8,Hell's Kitchen,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg
1968,1/4/2023,14:47:54,1,8,Hell's Kitchen,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm
1974,1/4/2023,14:53:18,2,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
2008,1/4/2023,15:29:26,1,8,Hell's Kitchen,71,3.75,Bakery,Pastry,Chocolate Croissant
2028,1/4/2023,15:46:26,2,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
2047,1/4/2023,16:30:33,1,3,Astoria,45,3.0,Tea,Brewed herbal tea,Peppermint Lg
2057,1/4/2023,16:58:25,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
2058,1/4/2023,16:59:04,2,5,Lower Manhattan,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
2100,1/4/2023,17:45:57,2,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
2124,1/4/2023,18:16:20,1,3,Astoria,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg
2133,1/4/2023,18:28:20,1,5,Lower Manhattan,73,3.75,Bakery,Pastry,Almond Croissant
2168,1/4/2023,19:13:09,1,3,Astoria,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
2189,1/4/2023,19:49:24,1,3,Astoria,74,3.5,Bakery,Biscotti,Ginger Biscotti
2203,1/5/2023,7:30:10,1,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
2214,1/5/2023,8:20:57,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte
2221,1/5/2023,8:25:59,1,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg
2236,1/5/2023,8:46:33,1,8,Hell's Kitchen,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg
2263,1/5/2023,9:38:01,2,5,Lower Manhattan,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
2272,1/5/2023,10:09:39,1,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg
2277,1/5/2023,10:20:39,1,8,Hell's Kitchen,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
2289,1/5/2023,10:36:55,1,5,Lower Manhattan,49,3.0,Tea,Brewed Black tea,English Breakfast Lg
2292,1/5/2023,10:40:06,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
2330,1/5/2023,11:26:08,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
2368,1/5/2023,12:14:28,1,3,Astoria,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
2370,1/5/2023,12:16:55,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
2375,1/5/2023,12:21:21,1,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
2404,1/5/2023,12:45:56,1,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
2432,1/5/2023,13:16:45,1,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg
2442,1/5/2023,13:24:46,2,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg
2451,1/5/2023,13:41:46,2,3,Astoria,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
2460,1/5/2023,13:52:40,1,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte
2478,1/5/2023,14:13:41,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant
2480,1/5/2023,14:14:57,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant
2486,1/5/2023,14:20:30,2,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
2555,1/5/2023,15:46:09,2,3,Astoria,45,3.0,Tea,Brewed herbal tea,Peppermint Lg
2576,1/5/2023,15:59:23,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
2577,1/5/2023,16:00:28,2,3,Astoria,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg
2584,1/5/2023,16:07:39,1,3,Astoria,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
2632,1/5/2023,17:07:21,1,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
2651,1/5/2023,17:28:31,2,3,Astoria,37,3.0,Coffee,Barista Espresso,Espresso shot
2678,1/5/2023,18:14:47,2,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte
2723,1/5/2023,19:24:25,2,3,Astoria,45,3.0,Tea,Brewed herbal tea,Peppermint Lg
2753,1/6/2023,7:34:45,1,5,Lower Manhattan,45,3.0,Tea,Brewed herbal tea,Peppermint Lg
2769,1/6/2023,8:02:57,2,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
2778,1/6/2023,8:11:57,1,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
2803,1/6/2023,8:52:57,1,8,Hell's Kitchen,30,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
2824,1/6/2023,9:33:29,1,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
2833,1/6/2023,9:54:50,1,8,Hell's Kitchen,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
2870,1/6/2023,11:16:53,1,3,Astoria,74,3.5,Bakery,Biscotti,Ginger Biscotti
2873,1/6/2023,11:22:26,1,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
2876,1/6/2023,11:24:49,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
2882,1/6/2023,11:36:32,1,3,Astoria,40,3.75,Coffee,Barista Espresso,Cappuccino
2899,1/6/2023,12:00:31,2,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg
2964,1/6/2023,13:23:59,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
2973,1/6/2023,13:28:17,1,8,Hell's Kitchen,70,3.25,Bakery,Scone,Cranberry Scone
2984,1/6/2023,13:56:35,1,8,Hell's Kitchen,30,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
3000,1/6/2023,14:13:48,2,3,Astoria,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg
3002,1/6/2023,14:15:25,1,8,Hell's Kitchen,30,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
3018,1/6/2023,14:37:57,1,8,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
3022,1/6/2023,14:42:25,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
3026,1/6/2023,14:46:55,1,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
3043,1/6/2023,15:09:02,1,8,Hell's Kitchen,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
3048,1/6/2023,15:16:02,1,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
3066,1/6/2023,15:29:06,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
3123,1/6/2023,16:24:57,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone
3129,1/6/2023,16:32:58,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
3153,1/6/2023,17:19:08,2,3,Astoria,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
3156,1/6/2023,17:22:32,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
3165,1/6/2023,17:33:47,2,5,Lower Manhattan,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg
3205,1/6/2023,18:21:46,1,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
3225,1/6/2023,18:53:18,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant
3230,1/6/2023,19:06:30,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant
3232,1/6/2023,19:09:13,2,3,Astoria,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
3234,1/6/2023,19:13:31,2,3,Astoria,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg
3299,1/7/2023,7:20:01,2,3,Astoria,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
3313,1/7/2023,7:37:21,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
3323,1/7/2023,7:44:17,1,5,Lower Manhattan,6,21.0,Coffee beans,Gourmet Beans,Ethiopia
3347,1/7/2023,8:09:37,1,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg
3348,1/7/2023,8:09:37,1,8,Hell's Kitchen,65,0.8,Flavours,Sugar free syrup,Sugar Free Vanilla syrup
3360,1/7/2023,8:20:30,1,5,Lower Manhattan,37,3.0,Coffee,Barista Espresso,Espresso shot
3361,1/7/2023,8:20:30,1,5,Lower Manhattan,64,0.8,Flavours,Regular syrup,Hazelnut syrup
3368,1/7/2023,8:25:38,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
3376,1/7/2023,8:32:16,2,3,Astoria,28,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
3394,1/7/2023,8:36:53,2,5,Lower Manhattan,45,3.0,Tea,Brewed herbal tea,Peppermint Lg
3400,1/7/2023,8:39:05,2,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg
3428,1/7/2023,9:00:23,1,3,Astoria,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
3441,1/7/2023,9:06:36,1,8,Hell's Kitchen,30,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
3459,1/7/2023,9:23:49,2,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
3462,1/7/2023,9:29:32,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
3474,1/7/2023,9:40:36,2,8,Hell's Kitchen,28,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
3483,1/7/2023,9:47:30,2,8,Hell's Kitchen,51,3.0,Tea,Brewed Black tea,Earl Grey Lg
3490,1/7/2023,9:57:28,1,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
3501,1/7/2023,10:03:16,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
3514,1/7/2023,10:11:28,1,8,Hell's Kitchen,53,3.0,Tea,Brewed Chai tea,Traditional Blend Chai Lg
3565,1/7/2023,10:37:20,2,5,Lower Manhattan,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg
3589,1/7/2023,10:52:50,2,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte
3602,1/7/2023,10:56:46,2,8,Hell's Kitchen,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg
3606,1/7/2023,11:02:58,1,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
3616,1/7/2023,11:10:06,2,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
3660,1/7/2023,12:26:42,1,8,Hell's Kitchen,19,6.4,Packaged Chocolate,Drinking Chocolate,Dark chocolate
3677,1/7/2023,12:54:18,1,3,Astoria,74,3.5,Bakery,Biscotti,Ginger Biscotti
3688,1/7/2023,13:26:37,2,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg
3694,1/7/2023,13:38:54,2,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
3717,1/7/2023,14:53:35,1,3,Astoria,51,3.0,Tea,Brewed Black tea,Earl Grey Lg
3727,1/7/2023,15:28:09,1,3,Astoria,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
3766,1/7/2023,17:49:50,2,3,Astoria,51,3.0,Tea,Brewed Black tea,Earl Grey Lg
3770,1/7/2023,17:58:15,2,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
3827,1/7/2023,19:43:24,2,3,Astoria,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
3886,1/8/2023,7:53:43,1,8,Hell's Kitchen,49,3.0,Tea,Brewed Black tea,English Breakfast Lg
3894,1/8/2023,8:03:13,2,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte
3902,1/8/2023,8:09:07,1,3,Astoria,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm
3917,1/8/2023,8:20:50,1,5,Lower Manhattan,77,3.0,Bakery,Scone,Oatmeal Scone
3931,1/8/2023,8:31:47,2,5,Lower Manhattan,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg
3933,1/8/2023,8:34:30,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
3941,1/8/2023,8:42:32,1,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg
3946,1/8/2023,8:49:04,1,5,Lower Manhattan,9,22.5,Coffee beans,Organic Beans,Organic Decaf Blend
3983,1/8/2023,9:19:14,2,8,Hell's Kitchen,53,3.0,Tea,Brewed Chai tea,Traditional Blend Chai Lg
3985,1/8/2023,9:21:59,2,8,Hell's Kitchen,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
4019,1/8/2023,9:47:40,1,8,Hell's Kitchen,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti
4022,1/8/2023,9:49:23,1,5,Lower Manhattan,77,3.0,Bakery,Scone,Oatmeal Scone
4025,1/8/2023,9:53:06,2,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
4026,1/8/2023,9:53:06,1,3,Astoria,70,3.25,Bakery,Scone,Cranberry Scone
4028,1/8/2023,9:58:21,2,8,Hell's Kitchen,28,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
